Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Behrendorff,RCB,Bowler ,Australia,"April 20, 1990 Camden, New South Wales","31 Years, 10 Months, 25 Days",Left-arm fast medium,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddarth Kaul,RCB,Bowler ,India,"May 19, 1990 Pathankot, Punjab","31 Years, 9 Months, 27 Days",Right-arm medium,Right Handed,IPL,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karn Sharma,RCB,Bowler ,India,"October 23, 1987 Meerut, Uttar Pradesh","34 Years, 4 Months, 24 Days",Leg break googly,Left Handed,IPL,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyash Prabhudessai,RCB,All-Rounder ,India,"December 6, 1997","24 Years, 3 Months, 9 Days",Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chama Milind,RCB,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneeshwar Gautam,RCB,All-Rounder ,India,"January 16, 2003 Bengaluru, Karnataka","19 Years, 2 Months, -1 Days",Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akash Deep,RCB,Bowler ,India,"December 15, 1996 Dehri, (Rotas), Bihar","25 Years, 3 Months, 0 Days",Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luvnith Sisodia,RCB,Wicket-Keeper ,India,"January 15, 2000 Bangalore, Karnataka","22 Years, 2 Months, 1 Days",Left-arm medium,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohit Sharma,MI,Batsman ,India,"April 30, 1987 Bansod, Nagpur, Maharashtra","34 Years, 10 Months, 16 Days",Off break,Right Handed,IPL,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Kishan,MI,Wicket-Keeper ,India,"July 18, 1998 Patna, Bihar","23 Years, 7 Months, 28 Days",Left-arm medium,Left Handed,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasprit Bumrah,MI,Bowler ,India,"December 6, 1993 Ahmedabad","28 Years, 3 Months, 9 Days",Right-arm fast,Right Handed,IPL,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim David,MI,All-Rounder ,Singapore,"March 16, 1996","26 Years, 0 Months, -1 Days",Off break,Right Handed,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
